field	filter	public_value	code	swedish	english	synonyms	comments	edmo	source
laboratory		Norrtälje Energi	NORTENER	Norrtälje Energi	Norrtälje Energy				translate_LABO
laboratory		Norrtälje kommun	NORRKOM	Norrtälje kommun	Norrtälje Municipality	Norrtälje kommun Vatten- och avloppsavdelningen<or>NORRTA		4919.0	translate_LABO
laboratory		Norsk institutt for vannforskning	NIVA	Norsk institutt for vannforskning	Norwegian Institute for Water Research				translate_LABO
laboratory		Nyköping kommun	NYKOM	Nyköping kommun	Nyköping Municipality				translate_LABO
laboratory		Nynäshamn kommun	NYNAKOM	Nynäshamn kommun	Nynäshamn Municipality	NYNASKOM		4783.0	translate_LABO
laboratory		Orust Shellfish AB	ORSHEL	Orust Shellfish AB	Orust Shellfish AB				translate_LABO
laboratory		Oskarshamns kommun	OSKKOM	Oskarshamns kommun	Oskarshamns Municipality				translate_LABO
laboratory		Oskarshamns Kraftgrupp AB	OKGAB	Oskarshamns Kraftgrupp AB	Oskarshamn Nuclear Power Plant				translate_LABO
laboratory		Ospecificerat	XXX	Ospecificerat	Unspecified			545.0	translate_LABO
laboratory		Ospecificerat forskningsdata	XXF	Ospecificerat forskningsdata	Unspecified research data	Forskningsdata			translate_LABO
laboratory		Oxelö Energi	OXEN	Oxelö Energi	Oxelö Energy				translate_LABO
laboratory		Oxelösund hamn	OXHAMN	Oxelösund hamn	Oxelösund Harbor				translate_LABO
laboratory		PAG Miljöundersökningar	PAG	PAG Miljöundersökningar	PAG Environmental Studies			624.0	translate_LABO
laboratory		Pelagia Miljökonsult AB	PELA	Pelagia Miljökonsult AB	Pelagia Nature & Environment AB	Pelagia Environmental consulting AB		5736.0	translate_LABO
laboratory		Piteå kommun	PITKOM	Piteå kommun	Piteå Municipality				translate_LABO
laboratory		Piteå Renhållning och Vatten	PIREVA	Piteå Renhållning och Vatten	Piteå Sanitation and Water	PITREV<or>Piteå Renhållning och Vatten AB 			translate_LABO
laboratory		Ringhals AB kärnkraftverk	RINGHALS	Ringhals AB kärnkraftverk	Ringhals nuclear power plant				translate_LABO
laboratory		Robertsfors kommun	ROBKOM	Robertsfors kommun	Robertsfors Municipality				translate_LABO
laboratory		SCA Packaging	SCAP	SCA Packaging	SCA Packaging	SCA Packaging Munksund Piteå<or>SCA Munksund<or>SCA Munksund AB		5314.0	translate_LABO
laboratory		Scanfjord	SCFJ	Scanfjord	Scanfjord				translate_LABO
laboratory		Schweden Splitt AB	SPLITT	Schweden Splitt AB	Schweden Splitt AB				translate_LABO
laboratory		Science for Life Laboratory	SCILIFELAB	Science for Life Laboratory	Science for Life Laboratory				translate_LABO
laboratory		Sero A/S	SERO	Sero A/S	Sero A/S				translate_LABO
laboratory		SGS Analytics Sweden	SGS	SGS Analytics Sweden	SGS Analytics Sweden			5493.0	translate_LABO
laboratory		Skellefteå kommun	SKEKOM	Skellefteå kommun	Skellefteå Municipality				translate_LABO
laboratory		Skog & Sjö i Dalarna	SKSJDA	Skog & Sjö i Dalarna	Skog & Sjö i Dalarna				translate_LABO
laboratory		Skärgårdsstiftelsen	SKS	Skärgårdsstiftelsen	The Archipelago Foundation				translate_LABO
laboratory		Smurfit Kappa Kraftliner AB	SKKP	Smurfit Kappa Kraftliner AB	Smurfit Kappa Kraftliner AB	Smurfit Kappa Kraftliner<or>Smurfit Kappa Kraftliner Piteå		4920.0	translate_LABO
laboratory		Sollentuna kommun	SOLLKOM	Sollentuna kommun	Sollentuna Municipality	Kommunledningskontoret, Sollentuna kommun<or>Kommunledningskontoret Sollentuna kommun		4921.0	translate_LABO
laboratory		SSAB	SSAB	SSAB	SSAB	SSAB Europe Luleå		4922.0	translate_LABO
laboratory		Statens veterinärmedicinska anstalt	SVA	Statens veterinärmedicinska anstalt	National Veterinary Institute	NVI			translate_LABO
laboratory		Stockholm Vatten AB	SVAB	Stockholm Vatten AB	Stockholm Vatten AB			5737.0	translate_LABO
laboratory		Stockholms stad	STHS	Stockholms stad	The city of Stockholm	Stockholm stad			translate_LABO
